LOWER CASE FORM
,,18,Total=18
focus,Focus,1,focus,2,Total=3

formal,Formal,1,Total=1

foundation,Foundation,2,foundation,4,Total=6

frameworks,Frameworks,1,Total=1

fss,FSS,1,Total=1

future,future,1,Total=1

gained,gained,1,Total=1

game,Game,1,Total=1

geometryi,GeometryI,1,Total=1

geometryi3,GeometryI3,1,Total=1

geometryii,GeometryII,1,Total=1

geometryii3,GeometryII3,1,Total=1

graphics3,Graphics3,1,Total=1

hand,hand,1,Total=1

hour,hour,2,Total=2

hours,Hours,6,hours,2,Total=8

hours15,Hours15,3,Total=3

hours16,Hours16,2,Total=2

hours17,Hours17,1,Total=1

hours18,Hours18,2,Total=2

human,Human,2,Total=2

ict,ICT,1,Total=1

image,Image,1,Total=1

implement,implement,1,Total=1

indepth,indepth,1,Total=1

information,Information,7,Total=7

informed,informed,1,Total=1

initially,Initially,1,Total=1

intelligence,Intelligence,1,Total=1

intelligence3,Intelligence3,1,Total=1

interaction,Interaction,1,Total=1

interaction3,Interaction3,1,Total=1

interactive,Interactive,1,Total=1

interfaces,Interfaces,1,Total=1

introduction,Introduction,19,Total=19

introductory,Introductory,5,Total=5

introdution,Introdution,1,Total=1

irrespective,irrespective,1,Total=1

is101,IS101,1,Total=1

islamabad,Islamabad,1,Total=1

islamic,Islamic,2,Total=2

issues,issues,1,Total=1

knowledge,Knowledge,1,knowledge,6,Total=7

lab,lab,1,Total=1

language,Language,1,Total=1

language31,Language31,1,Total=1

learn,learn,1,Total=1

learning,Learning,2,learning,1,Total=3

linear,Linear,2,Total=2

links,links,1,Total=1

list,List,1,list,1,Total=2

ma101,MA101,1,Total=1

ma102,MA102,1,Total=1

ma203,MA203,1,Total=1

ma205,MA205,1,Total=1

machine,Machine,1,Total=1

magnetism,Magnetism,2,Total=2

manage,manage,1,Total=1

management,Management,2,Total=2

material,material,1,Total=1

mathematics,Mathematics,1,Total=1

mathematics3,Mathematics3,1,Total=1

means,means,1,Total=1

mechanics,Mechanics,2,Total=2

methods,Methods,1,Total=1

mining,Mining,1,Total=1

mobile,Mobile,2,Total=2

modeling,Modeling,1,Total=1

mphil,MPhil,1,Total=1

ms,MS,2,Total=2

multimedia,Multimedia,2,multimedia,1,Total=3

national,National,1,Total=1

natural,Natural,2,Total=2

nceac,NCEAC,1,Total=1

net,Net,1,Total=1

network,Network,2,Total=2

networks,Networks,3,Total=3

networks3,Networks3,1,Total=1

neural,Neural,1,Total=1

object,Object,1,Total=1

objectives,Objectives,1,Total=1

offered,offered,4,Total=4

operating,Operating,1,Total=1

opportunity,opportunity,2,Total=2

organization,Organization,1,Total=1

organization3,Organization3,1,Total=1

oriented,Oriented,1,Total=1

outcomes,Outcomes,1,Total=1

overview,Overview,1,Total=1

pakistan,Pakistan,3,Total=3

ph111,PH111,1,Total=1

ph112,PH112,1,Total=1

phd,PhD,1,Total=1

physics,Physics,1,Total=1

physics21,Physics21,1,Total=1

policyrules,PolicyRules,1,Total=1

practical,practical,2,Total=2

prerequisite,PreRequisite,4,Total=4

principles,Principles,1,Total=1

probability,Probability,2,Total=2

processing,Processing,2,Total=2

program,Program,3,program,5,Total=8

programming,Programming,1,Total=1

programming21,Programming21,1,Total=1

programming3,Programming3,1,Total=1

programming31,Programming31,1,Total=1

programs,Programs,1,Total=1

project,Project,1,project,1,Total=2

projecti3,ProjectI3,1,Total=1

projectii3,ProjectII3,1,Total=1

provide,provide,1,Total=1

provides,provides,1,Total=1

providing,providing,1,Total=1

ps101,PS101,1,Total=1

psychology,Psychology,1,Total=1

psychology3,Psychology3,1,Total=1

py101,PY101,1,Total=1

qau,QAU,2,Total=2

quaidiazam,QuaidiAzam,1,Total=1

quality,Quality,1,Total=1

rapid,Rapid,1,Total=1

real,Real,1,Total=1

recommender,Recommender,1,Total=1

reliable,reliable,1,Total=1

required,required,2,Total=2

research,research,1,Total=1

retrieval,Retrieval,1,Total=1

sc,SC,2,Total=2

scheme,Scheme,1,Total=1

science,Science,11,science,1,Total=12

sciences,Sciences,4,sciences,1,Total=5

scientific,scientific,1,Total=1

security,Security,2,Total=2

security3,Security3,1,Total=1

selected,Selected,1,Total=1

semantic,Semantic,1,Total=1

semester,Semester,8,semester,1,Total=9

semesters,semesters,3,Total=3

services,Services,1,Total=1

simulation,Simulation,1,Total=1

skills,skills,1,Total=1

social,Social,2,Total=2

society3,Society3,1,Total=1

software,Software,10,software,1,Total=11

solid,solid,1,Total=1

solve,solve,1,Total=1

solving,Solving,1,Total=1

specialize,specialize,1,Total=1

st101,ST101,1,Total=1

started,started,1,Total=1

statistics,Statistics,1,Total=1

statistics3,Statistics3,1,Total=1

structure,Structure,1,structure,1,Total=2

structures31,Structures31,1,Total=1

student,student,2,Total=2

students,students,10,Total=10

studied,studied,2,Total=2

studies,Studies,3,Total=3

studies2,Studies2,2,Total=2

study,Study,1,Total=1

systems,Systems,5,systems,2,Total=7

systems3,Systems3,3,Total=3

table,table,2,Total=2

teaching,teaching,1,Total=1

techniques,techniques,2,Total=2

technologies,Technologies,2,Total=2

technology,Technology,1,Total=1

tel,Tel,1,Total=1

testing,testing,1,Total=1

theoretical,theoretical,1,Total=1

theory,Theory,2,Total=2

thermal,Thermal,2,Total=2

time,Time,1,Total=1

tools,tools,2,Total=2

topic,topic,1,Total=1

total,Total,1,Total=1

trends,Trends,1,Total=1

university,University,4,university,1,Total=5

usable,usable,1,Total=1

usage,usage,1,Total=1

useful,Useful,1,Total=1

using,using,1,Total=1

vision,Vision,1,Total=1

wad,WAD,1,Total=1

waves,Waves,1,Total=1

waves21,Waves21,1,Total=1

web,Web,7,Total=7

week,week,1,Total=1

wellintegrated,wellintegrated,1,Total=1

wireless,Wireless,1,Total=1

